sample,type
TCGA-91-6849-11A-01R-1949-07,Normal
TCGA-55-6982-11A-01R-1949-07,Normal
TCGA-73-4676-11A-01R-1755-07,Normal
TCGA-55-6980-11A-01R-1949-07,Normal
TCGA-50-5931-11A-01R-1858-07,Normal
TCGA-91-6828-11A-01R-1858-07,Normal
TCGA-49-6743-11A-01R-1858-07,Normal
TCGA-44-6147-11A-01R-1858-07,Normal
TCGA-44-2665-11A-01R-1758-07,Normal
TCGA-44-2657-11A-01R-1758-07,Normal
TCGA-38-4627-11A-01R-1758-07,Normal
TCGA-55-6970-11A-01R-1949-07,Normal
TCGA-50-5939-11A-01R-1628-07,Normal
TCGA-44-6778-11A-01R-1858-07,Normal
TCGA-38-4625-11A-01R-1758-07,Normal
TCGA-44-2668-11A-01R-1758-07,Normal
TCGA-38-4632-11A-01R-1755-07,Normal
TCGA-50-5933-11A-01R-1755-07,Normal
TCGA-55-6972-11A-01R-1949-07,Normal
TCGA-55-6985-11A-01R-1949-07,Normal
TCGA-49-6761-11A-01R-1949-07,Normal
TCGA-55-6984-11A-01R-1949-07,Normal
TCGA-44-6776-11A-01R-1858-07,Normal
TCGA-55-6975-11A-01R-1949-07,Normal
TCGA-55-6981-11A-01R-1949-07,Normal
TCGA-50-5935-11A-01R-1858-07,Normal
TCGA-44-2655-11A-01R-1758-07,Normal
TCGA-55-6979-11A-01R-1949-07,Normal
TCGA-44-2662-11A-01R-1758-07,Normal
TCGA-49-6744-11A-01R-1858-07,Normal
TCGA-49-6745-11A-01R-1858-07,Normal
TCGA-44-3396-11A-01R-1758-07,Normal
TCGA-44-6146-11A-01R-1858-07,Normal
TCGA-50-5930-11A-01R-1755-07,Normal
TCGA-44-2661-11A-01R-1758-07,Normal
TCGA-50-5936-11A-01R-1628-07,Normal
TCGA-44-5645-11A-01R-1628-07,Normal
TCGA-55-6971-11A-01R-1949-07,Normal
TCGA-44-3398-11B-01R-1758-07,Normal
TCGA-44-6144-11A-01R-1755-07,Normal
TCGA-44-6145-11A-01R-1858-07,Normal
TCGA-91-6829-11A-01R-1858-07,Normal
TCGA-91-6836-11A-01R-1858-07,Normal
TCGA-49-6742-11A-01R-1858-07,Normal
