"feature_ids","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","type"
"PYCR1",5191.60254652312,3.83588912692835,0.122931150041388,31.2035568335357,9.53417298055954e-214,4.18349976213972e-209,"Up regulated"
"FAM83A",6525.41870318667,6.94969758210194,0.231837185434856,29.9766302332667,1.97934116677333e-197,4.34257555284235e-193,"Up regulated"
"TEDC2",271.17245494744,3.66192930283621,0.135701149461275,26.9852489634306,2.20192895926993e-160,3.22061469346018e-156,"Up regulated"
"TOP2A",5281.37091646133,4.00924922622773,0.15220246925492,26.3415517885766,6.41390911262136e-153,5.62871835905426e-149,"Up regulated"
"UBE2T",823.42765935192,3.46589649996069,0.134352731918449,25.796993112611,9.58342929684171e-147,4.67234771240131e-143,"Up regulated"
"IQGAP3",1352.52206982094,3.7399231968866,0.145735045782117,25.6624834254214,3.06784843097756e-145,1.22376473911695e-141,"Up regulated"
"SAPCD2",721.999240712126,3.90904557679128,0.15349060258353,25.467654116896,4.50068125195646e-143,1.35628004845516e-139,"Up regulated"
"TUBB3",361.5388648281,4.8881818556544,0.192042939617296,25.4535879600447,6.44247407425048e-143,1.76680824940023e-139,"Up regulated"
"KIF4A",860.675373865881,3.99459705923468,0.157177099527327,25.4146251028139,1.73818283872676e-142,4.0141960410785e-139,"Up regulated"
"NEK2",678.063567843972,3.9038865024886,0.157195497503876,24.8345949119335,3.79383193815172e-136,6.16553894867256e-133,"Up regulated"
"HJURP",691.987051559093,4.03149285842601,0.163565699922896,24.6475444443819,3.91013106548423e-134,5.53460132330266e-131,"Up regulated"
"CDC25C",196.400808028494,3.83241372836037,0.155700290113124,24.61404359347,8.93592014839755e-134,1.15323305938687e-130,"Up regulated"
"FAM83A.AS1",173.045742498106,6.66944428360381,0.274125336004939,24.3299082850322,9.4616670797422e-131,1.18619568512002e-127,"Up regulated"
"KIF14",440.922086317048,3.91947123910639,0.161115457056616,24.327096299203,1.01327747209724e-130,1.2350445055043e-127,"Up regulated"
"AFAP1.AS1",3187.26472167454,6.38578264572096,0.262520144416189,24.3249243212254,1.06834919069221e-130,1.2669755172536e-127,"Up regulated"
"NUF2",561.192191548018,3.88635035823971,0.160095061480659,24.2752669713626,3.5780917852646e-130,4.13166024856909e-127,"Up regulated"
"ETV4",2112.53337631017,3.86912569826516,0.159580593761693,24.245590313087,7.35968563982351e-130,8.28040118435426e-127,"Up regulated"
"CDC20",1525.66911679691,3.94103893566595,0.162670896463685,24.2270684021573,1.1538416050027e-129,1.26573539464784e-126,"Up regulated"
"KIF2C",1022.09601405645,3.73851248700901,0.154954977837397,24.1264433010474,1.31975782678909e-128,1.34673613213206e-125,"Up regulated"
"UBE2C",1689.0578680489,4.36908002139559,0.181980023232581,24.0085694230935,2.26296148890511e-127,2.20658860381483e-124,"Up regulated"
"ASPM",989.209997030883,3.90331250121007,0.162701522391013,23.9906329323054,3.48297832264117e-127,3.32238273519939e-124,"Up regulated"
"SPAG5",1369.36671763411,3.24484773759606,0.135812134757968,23.892178290097,3.69338468017129e-126,3.30738829349462e-123,"Up regulated"
"DLGAP5",730.786595848335,3.84245804294851,0.160989488301817,23.8677573516154,6.62422655361298e-126,5.81328873891968e-123,"Up regulated"
"BUB1B",664.908151857563,3.54998459896527,0.148773873023705,23.8616131099822,7.67233173512001e-126,6.47412008087175e-123,"Up regulated"
"EXO1",421.249840373993,3.76920144116109,0.158526931134452,23.7764108229933,5.85932465816501e-125,4.85096805048344e-122,"Up regulated"
"ANLN",2083.03742599867,3.94201369861796,0.166104311780999,23.7321575602163,1.67952371912165e-124,1.33992402311525e-121,"Up regulated"
"CENPF",2346.88911665766,3.64340241892913,0.153564482336682,23.725554005002,1.96498060370315e-124,1.53966756981947e-121,"Up regulated"
"ERCC6L",207.741111119421,3.45157013333584,0.14565046961089,23.6976244742418,3.8148817477259e-124,2.83717281709262e-121,"Up regulated"
"TROAP",611.619669445118,4.00648839980307,0.169436907208356,23.6459013907538,1.30066858417649e-123,9.35607160739022e-121,"Up regulated"
"KIF20A",853.388230934634,3.29159123518,0.139369084274597,23.6178005496155,2.52979483290322e-123,1.79040108827356e-120,"Up regulated"
"UHRF1",685.646101824348,3.4782662655697,0.147840727411966,23.5271181795348,2.15328124744856e-122,1.47630981026243e-119,"Up regulated"
"DEPDC1",489.535236857218,4.01525345606378,0.170842999576918,23.5025928250342,3.83719734369056e-122,2.59034434221228e-119,"Up regulated"
"ORC6",339.973464148029,3.19892541615836,0.136308481797123,23.468278525173,8.60277101158246e-122,5.71940892753374e-119,"Up regulated"
"BIRC5",1783.9399960662,3.85034718719467,0.164295929842191,23.4354386678538,1.8608813551317e-121,1.20078842620329e-118,"Up regulated"
"TPX2",2481.73500624351,3.8085674319204,0.162530488468515,23.4329415225881,1.97323627590066e-121,1.25483528333688e-118,"Up regulated"
"MELK",688.187712036501,3.77993909951433,0.161347382328039,23.4273345186925,2.25080131541733e-121,1.4108987274171e-118,"Up regulated"
"B3GNT3",2036.14071942419,4.32772015815677,0.184810033878854,23.4171276706419,2.85990282928753e-121,1.7429121700876e-118,"Up regulated"
"CDC6",951.311945541284,3.5663219696738,0.152395310204874,23.4017829346545,4.09862963326204e-121,2.46361328325897e-118,"Up regulated"
"MEX3A",1303.7314161262,4.29625143017867,0.183997272954618,23.349538616468,1.39311177297775e-120,8.26058803871494e-118,"Up regulated"
"CRABP2",8017.67852589184,5.73534561145542,0.246419878534061,23.2746872759401,8.00192360517418e-120,4.61995270883471e-117,"Up regulated"
"XRCC2",299.704870980061,3.37540847129493,0.145216252856398,23.2440130143891,1.63537841202331e-119,9.31932069365858e-117,"Up regulated"
"PLK1",1136.20125053726,3.35604665035796,0.144948351017547,23.1533965498627,1.34361730773082e-118,7.46285871467352e-116,"Up regulated"
"KIF18B",564.291364062639,3.91964209938026,0.169362392996025,23.1435210027544,1.68943507124845e-118,9.26634018641382e-116,"Up regulated"
"CCNB1",1811.0121058449,3.13946442086011,0.137147909026292,22.8910848378902,5.70047788242233e-116,2.94272081179776e-113,"Up regulated"
"CEP55",1018.62598337525,3.41000159278007,0.149763787642401,22.7691997275224,9.26216506486385e-115,4.61834705546774e-112,"Up regulated"
"CDCA8",852.761152143524,3.18729372684743,0.14057207094963,22.6737338741315,8.13896002356794e-114,3.96810474304598e-111,"Up regulated"
"CTHRC1",3118.64713198737,3.8990524542458,0.172900482863584,22.5508476880431,1.31737858938581e-112,6.28317990474567e-110,"Up regulated"
"RECQL4",1062.16390020348,3.16650235817956,0.140610975197678,22.5195960253311,2.66789128922708e-112,1.24536597744676e-109,"Up regulated"
"GINS1",683.190011332996,3.18565938590925,0.141470884976091,22.5181272206479,2.75778869531213e-112,1.27377905433264e-109,"Up regulated"
