gene_ids,log2FoldChange
REG4,11.8928744977
B3GNT3,4.6067352491
FAM83A,5.4536370606
ENSG00000080031,5.6243381576
TMPRSS4,5.1277834533
AFAP1.AS1,6.0860787158
TFF1,11.2767426273
ADM2,3.5236974213
PYCR1,2.7738246355
ETV4,3.5955692754
TFF2,14.4074589211
ANXA10,9.7703249303
ATP10B,5.9512689121
GCNT3,5.7610979607
FERMT1,3.5480800177
FUT2,3.4003068646
GOLM1,2.5586467271
FEZF1.AS1,6.1040302847
ONECUT2,6.0817630061
COL10A1,4.3436176613
TMEM184A,2.8094779545
CST1,6.9597113535
PLEKHN1,2.9408494987
ENTPD8,4.9647015794
ENSG00000227066,5.5368868831
BCL2L15,3.9218039206
MMP11,4.877555212
FAM83A.AS1,5.1088991992
EPHA10,3.5401146977
NPSR1,7.7167889726
BAIAP2L2,4.5945551402
ABCA12,4.6851921775
LGR4,2.621893539
MIA,6.3181651748
MYEOV,6.0051474488
PSMD10P2,6.7167581762
ADAM28,3.1109600063
C6orf222,6.5083679333
CDHR2,5.9706813916
FER1L4,4.0562369346
RASAL1,3.7556895123
MYBPC1,6.9770424742
MMP1,5.7992157116
PITX2,7.1162327429
ENSG00000230650,4.0869242358
CA9,6.0419175115
KIF26B,2.7949161602
RHBDL2,2.734742092
TCN1,7.5670311849
MNX1,4.2498046679
EPS8L3,9.0819860613
UNC5CL,3.134789574
STX1A,2.9201343247
ARL14,7.1083292658
TUBB3,3.4488229588
UGT2B15,7.9733294271
IGSF9,3.0068562983
MNX1.AS1,4.5072092531
CBLC,2.9001136082
IQGAP3,2.6093859741
LINC01977,4.1203500249
TM4SF4,7.5121652446
MEX3A,3.2837379108
B3GNT6,6.02358187
DNAJC22,3.7968587076
MUC6,7.8152317374
PLEK2,2.8065069184
LINC02014,3.344331685
COL17A1,5.2514401048
SMIM24,5.7533830289
SERPINA4,9.5585466259
INAVA,2.4677572192
AKR7A3,5.1705120895
PERM1,2.7836165245
FER1L6,6.197149
AOC1,5.2551921439
TEDC2,2.3344890348
FRMD5,3.0972749691
SPINK1,6.3124369279
SPP1,4.2132692003
MUC3A,5.1282464478
ZFPM2.AS1,4.4799807781
LINC01559,7.9449671106
GREM1,4.0547130986
HNF4G,3.5620435412
PRSS3,6.195979052
CRABP2,4.2260086294
FOXA3,4.3143682117
BLACAT1,3.188684616
SAPCD2,2.6065911581
MUC13,6.5853949278
ADAMTS14,2.8304016029
STYK1,2.7180034036
ABCC3,2.6531620935
VIL1,6.4997075204
CTHRC1,2.9164240025
FEZF1,5.3472118456
PLPP2,2.2232914808
ENSG00000179066,5.2423183006
SPTBN2,2.1485012207
PDX1,10.0228697474
SALL4,3.2528884843
HS6ST2,3.261248657
TRIM15,7.256887923
ARHGAP40,3.8786968771
XDH,3.7461926163
LINC00511,2.4953199451
PRSS2,6.7643505783
GJB2,3.7921216993
TOP2A,2.508502807
ENSG00000205922,8.1232148605
NECTIN4,2.2096924142
PPP1R14D,4.8439107588
RUNDC3A.AS1,3.3403516465
CYP24A1,5.1619805758
RFLENSG00000178882,3.8598449819
STRA6,4.1840126368
E2F8,2.3775069952
ANKRD22,3.0188973056
ENSG00000259674,5.2353137465
ITPKA,4.384031352
PROM2,2.6058331851
EPN3,2.5959765805
UHRF1,2.3851995282
TFAP2A,3.3075071439
ANKS4B,7.3215068618
KCNN4,3.1722979263
SLC9A4,8.1173853866
CELSR3,2.8103966906
MROH3P,5.7173384532
FA2H,3.1938620169
LINC02535,4.5141667374
ONECUT1,5.6981997316
IL22RA2,4.2195192311
KDELR3,2.0470328712
MUCL3,4.7981041902
LINC01819,4.9824755916
TMEM63C,3.9347517375
GRHL3,3.1300105952
CLRN3,4.7365900737
DMBX1,5.5965272406
CCDC198,6.7726721853
FUT3,2.6094111601
ENSG00000204876,4.9694689372
NPC1L1,5.3848505272
TRPM8,5.3889231556
TMEM51.AS1,2.3592886938
ENSG00000256940,2.819916611
PITX1,4.1337974847
USH1C,5.6595501137
SPINK4,7.0977092048
DEPDC1B,2.5870469516
