"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031528","microvillus membrane","1/11","31/21794",0.0155392430153645,0.134362965649365,0.0900039004349814,"ENSG00000080031",1
"GO:0016235","aggresome","1/11","58/21794",0.0288942137196806,0.134362965649365,0.0900039004349814,"ENSG00000180806",1
"GO:0005902","microvillus","1/11","92/21794",0.0454772347394974,0.134362965649365,0.0900039004349814,"ENSG00000080031",1
"GO:0016234","inclusion body","1/11","99/21794",0.0488592602361327,0.134362965649365,0.0900039004349814,"ENSG00000180806",1
"GO:0098858","actin-based cell projection","1/11","220/21794",0.105624639454852,0.207427184707381,0.138946439516906,"ENSG00000080031",1
"GO:0016324","apical plasma membrane","1/11","344/21794",0.160585886394476,0.207427184707381,0.138946439516906,"ENSG00000080031",1
"GO:0031253","cell projection membrane","1/11","367/21794",0.170436041507068,0.207427184707381,0.138946439516906,"ENSG00000080031",1
"GO:0098978","glutamatergic synapse","1/11","377/21794",0.174685847719212,0.207427184707381,0.138946439516906,"ENSG00000171246",1
"GO:0005667","transcription factor complex","1/11","386/21794",0.178493740657395,0.207427184707381,0.138946439516906,"ENSG00000205922",1
"GO:0045177","apical part of cell","1/11","410/21794",0.188570167915801,0.207427184707381,0.138946439516906,"ENSG00000080031",1
"GO:0030133","transport vesicle","1/11","499/21794",0.224963803647496,0.224963803647496,0.150693456988754,"ENSG00000171246",1
