"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048787","GO:0048787","presynaptic active zone membrane","2/29","31/19659",0.000951442349830138,0.0679957599777178,0.0534842299419874,"STX11/GPM6A",2
"GO:0008021","GO:0008021","synaptic vesicle","3/29","180/19659",0.0023151512461389,0.0679957599777178,0.0534842299419874,"RAB26/STX11/LGI3",3
"GO:0045178","GO:0045178","basal part of cell","2/29","51/19659",0.00256156873420324,0.0679957599777178,0.0534842299419874,"GKN2/TEK",2
"GO:0070382","GO:0070382","exocytic vesicle","3/29","197/19659",0.00298882461440518,0.0679957599777178,0.0534842299419874,"RAB26/STX11/LGI3",3
"GO:0048786","GO:0048786","presynaptic active zone","2/29","69/19659",0.00463654164440277,0.0790698423471797,0.0621949020197596,"STX11/GPM6A",2
"GO:0098793","GO:0098793","presynapse","4/29","482/19659",0.00521339619871514,0.0790698423471797,0.0621949020197596,"RAB26/STX11/LGI3/GPM6A",4
"GO:0031838","GO:0031838","haptoglobin-hemoglobin complex","1/29","11/19659",0.0161115767945498,0.170469959989782,0.1340885746594,"HBM",1
"GO:0005833","GO:0005833","hemoglobin complex","1/29","12/19659",0.0175637736732636,0.170469959989782,0.1340885746594,"HBM",1
"GO:0030133","GO:0030133","transport vesicle","3/29","381/19659",0.018173501811908,0.170469959989782,0.1340885746594,"RAB26/STX11/LGI3",3
"GO:0098993","GO:0098993","anchored component of synaptic vesicle membrane","1/29","13/19659",0.0190139009478334,0.170469959989782,0.1340885746594,"RAB26",1
"GO:0099059","GO:0099059","integral component of presynaptic active zone membrane","1/29","15/19659",0.0219079580580183,0.170469959989782,0.1340885746594,"GPM6A",1
"GO:0042734","GO:0042734","presynaptic membrane","2/29","161/19659",0.0234154504722082,0.170469959989782,0.1340885746594,"STX11/GPM6A",2
"GO:0031225","GO:0031225","anchored component of membrane","2/29","169/19659",0.0256218733346915,0.170469959989782,0.1340885746594,"RAB26/EFNA3",2
"GO:0098945","GO:0098945","intrinsic component of presynaptic active zone membrane","1/29","19/19659",0.0276713619263548,0.170469959989782,0.1340885746594,"GPM6A",1
"GO:0035371","GO:0035371","microtubule plus-end","1/29","20/19659",0.0291070814021256,0.170469959989782,0.1340885746594,"NCKAP5",1
"GO:0005759","GO:0005759","mitochondrial matrix","3/29","462/19659",0.0299727402179836,0.170469959989782,0.1340885746594,"PYCR1/OTC/GPT2",3
"GO:0098858","GO:0098858","actin-based cell projection","2/29","198/19659",0.0342906068217488,0.173465774532175,0.136445027972098,"GPM6A/TEK",2
"GO:0044295","GO:0044295","axonal growth cone","1/29","26/19659",0.0376785105771168,0.173465774532175,0.136445027972098,"GPM6A",1
"GO:1990752","GO:1990752","microtubule end","1/29","28/19659",0.0405193827701503,0.173465774532175,0.136445027972098,"NCKAP5",1
"GO:0000793","GO:0000793","condensed chromosome","2/29","221/19659",0.0418658775315062,0.173465774532175,0.136445027972098,"TOP2A/ERCC6L",2
"GO:0018995","GO:0018995","host","1/29","29/19659",0.0419367806561302,0.173465774532175,0.136445027972098,"TOP2A",1
"GO:0043657","GO:0043657","host cell","1/29","29/19659",0.0419367806561302,0.173465774532175,0.136445027972098,"TOP2A",1
"GO:0009925","GO:0009925","basal plasma membrane","1/29","34/19659",0.0489934992561529,0.176395828788918,0.138749755438362,"TEK",1
"GO:0044215","GO:0044215","other organism","1/29","35/19659",0.0503988082254051,0.176395828788918,0.138749755438362,"TOP2A",1
"GO:0044216","GO:0044216","other organism cell","1/29","35/19659",0.0503988082254051,0.176395828788918,0.138749755438362,"TOP2A",1
"GO:0044217","GO:0044217","other organism part","1/29","35/19659",0.0503988082254051,0.176395828788918,0.138749755438362,"TOP2A",1
"GO:0098563","GO:0098563","intrinsic component of synaptic vesicle membrane","1/29","46/19659",0.0657254735330797,0.218097432286416,0.171551479415573,"RAB26",1
"GO:0031201","GO:0031201","SNARE complex","1/29","47/19659",0.0671069022419741,0.218097432286416,0.171551479415573,"STX11",1
"GO:0001725","GO:0001725","stress fiber","1/29","59/19659",0.0835309843336495,0.253377319145403,0.199301997708357,"TEK",1
"GO:0097517","GO:0097517","contractile actin filament bundle","1/29","59/19659",0.0835309843336495,0.253377319145403,0.199301997708357,"TEK",1
