"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004725","protein tyrosine phosphatase activity","2/18","113/19626",0.00473347703921495,0.108968240464424,0.0716896318844897,"ENSG00000080031/ENSG00000070778",2
"GO:0019855","calcium channel inhibitor activity","1/18","11/19626",0.0100450685216008,0.108968240464424,0.0716896318844897,"ENSG00000129991",1
"GO:0047429","nucleoside-triphosphate diphosphatase activity","1/18","11/19626",0.0100450685216008,0.108968240464424,0.0716896318844897,"ENSG00000276759",1
"GO:0004721","phosphoprotein phosphatase activity","2/18","199/19626",0.014066698870576,0.108968240464424,0.0716896318844897,"ENSG00000080031/ENSG00000070778",2
"GO:0005001","transmembrane receptor protein tyrosine phosphatase activity","1/18","21/19626",0.0190941840016118,0.108968240464424,0.0716896318844897,"ENSG00000080031",1
"GO:0019198","transmembrane receptor protein phosphatase activity","1/18","21/19626",0.0190941840016118,0.108968240464424,0.0716896318844897,"ENSG00000080031",1
"GO:0030627","pre-mRNA 5'-splice site binding","1/18","23/19626",0.0208946072792862,0.108968240464424,0.0716896318844897,"ENSG00000278099",1
"GO:0005112","Notch binding","1/18","24/19626",0.0217936480928849,0.108968240464424,0.0716896318844897,"ENSG00000090932",1
"GO:0016791","phosphatase activity","2/18","295/19626",0.0294003029972664,0.110992902906504,0.0730216466490159,"ENSG00000080031/ENSG00000070778",2
"GO:0004993","G protein-coupled serotonin receptor activity","1/18","36/19626",0.0325215028777912,0.110992902906504,0.0730216466490159,"ENSG00000186723",1
"GO:0099589","serotonin receptor activity","1/18","36/19626",0.0325215028777912,0.110992902906504,0.0730216466490159,"ENSG00000186723",1
"GO:0008200","ion channel inhibitor activity","1/18","39/19626",0.0351860517399792,0.110992902906504,0.0730216466490159,"ENSG00000129991",1
"GO:0016248","channel inhibitor activity","1/18","40/19626",0.0360726934446138,0.110992902906504,0.0730216466490159,"ENSG00000129991",1
"GO:0005246","calcium channel regulator activity","1/18","44/19626",0.0396115707911554,0.113175916546158,0.0744578398329989,"ENSG00000129991",1
"GO:0099528","G protein-coupled neurotransmitter receptor activity","1/18","49/19626",0.0440179132250963,0.11738110193359,0.0772244091668356,"ENSG00000186723",1
"GO:0042578","phosphoric ester hydrolase activity","2/18","400/19626",0.0511330918762928,0.118430141403432,0.0779145667127842,"ENSG00000080031/ENSG00000070778",2
"GO:0036002","pre-mRNA binding","1/18","61/19626",0.0545153619573467,0.118430141403432,0.0779145667127842,"ENSG00000278099",1
"GO:0008227","G protein-coupled amine receptor activity","1/18","62/19626",0.0553852174894075,0.118430141403432,0.0779145667127842,"ENSG00000186723",1
"GO:0048306","calcium-dependent protein binding","1/18","63/19626",0.0562543171666302,0.118430141403432,0.0779145667127842,"ENSG00000129991",1
"GO:0003777","microtubule motor activity","1/18","90/19626",0.0794365429758155,0.158873085951631,0.104521767073441,"ENSG00000137807",1
"GO:0004867","serine-type endopeptidase inhibitor activity","1/18","102/19626",0.0895661799734706,0.170602247568515,0.11223832076876,"ENSG00000177359",1
"GO:0099106","ion channel regulator activity","1/18","111/19626",0.0970942244820385,0.176534953603706,0.116141416844544,"ENSG00000129991",1
"GO:0005179","hormone activity","1/18","125/19626",0.108687770366873,0.187990236215115,0.123677786983628,"ENSG00000171136",1
"GO:0030594","neurotransmitter receptor activity","1/18","130/19626",0.112794141729069,0.187990236215115,0.123677786983628,"ENSG00000186723",1
"GO:0003774","motor activity","1/18","146/19626",0.12581479040406,0.194803937043422,0.128160484896988,"ENSG00000137807",1
"GO:0016247","channel regulator activity","1/18","147/19626",0.126622559078224,0.194803937043422,0.128160484896988,"ENSG00000129991",1
"GO:0004866","endopeptidase inhibitor activity","1/18","201/19626",0.169210231715061,0.234819488937596,0.154486505879998,"ENSG00000177359",1
"GO:0051015","actin filament binding","1/18","205/19626",0.172285566506501,0.234819488937596,0.154486505879998,"ENSG00000129991",1
"GO:0030414","peptidase inhibitor activity","1/18","208/19626",0.174585008522146,0.234819488937596,0.154486505879998,"ENSG00000177359",1
"GO:0061135","endopeptidase regulator activity","1/18","210/19626",0.176114616703197,0.234819488937596,0.154486505879998,"ENSG00000177359",1
"GO:0000287","magnesium ion binding","1/18","223/19626",0.185992005650191,0.239989684709923,0.157887950467055,"ENSG00000276759",1
"GO:0061134","peptidase regulator activity","1/18","248/19626",0.20467346679525,0.254340923389893,0.167329554861772,"ENSG00000177359",1
"GO:0008017","microtubule binding","1/18","255/19626",0.209831261796662,0.254340923389893,0.167329554861772,"ENSG00000137807",1
"GO:0001077","proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific","1/18","305/19626",0.245764395179353,0.288075643674478,0.189523449785841,"ENSG00000205922",1
"GO:0001664","G protein-coupled receptor binding","1/18","314/19626",0.252066188215168,0.288075643674478,0.189523449785841,"ENSG00000171136",1
"GO:0015631","tubulin binding","1/18","341/19626",0.270674539714096,0.300749488571218,0.197861505638959,"ENSG00000137807",1
"GO:0004857","enzyme inhibitor activity","1/18","426/19626",0.326442539448235,0.352910853457551,0.232178193064178,"ENSG00000177359",1
"GO:0003779","actin binding","1/18","455/19626",0.344529568451254,0.356514134133321,0.234548772456132,"ENSG00000129991",1
"GO:0000982","transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding","1/18","460/19626",0.347601280779988,0.356514134133321,0.234548772456132,"ENSG00000205922",1
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","1/18","475/19626",0.356735052024574,0.356735052024574,0.234694113174062,"ENSG00000205922",1
