"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04330","Notch signaling pathway","1/6","48/7868",0.036061500229767,0.16864110043992,0.164837165843531,"10683",1
"hsa04260","Cardiac muscle contraction","1/6","86/7868",0.0638356536305955,0.16864110043992,0.164837165843531,"7137",1
"hsa05410","Hypertrophic cardiomyopathy (HCM)","1/6","90/7868",0.0667200400594569,0.16864110043992,0.164837165843531,"7137",1
"hsa04658","Th1 and Th2 cell differentiation","1/6","92/7868",0.0681594537088704,0.16864110043992,0.164837165843531,"10683",1
"hsa05414","Dilated cardiomyopathy (DCM)","1/6","96/7868",0.0710327314034481,0.16864110043992,0.164837165843531,"7137",1
"hsa01522","Endocrine resistance","1/6","98/7868",0.0724665992545165,0.16864110043992,0.164837165843531,"10683",1
"hsa04926","Relaxin signaling pathway","1/6","130/7868",0.0951588806415183,0.16864110043992,0.164837165843531,"117579",1
"hsa05224","Breast cancer","1/6","147/7868",0.10702472073482,0.16864110043992,0.164837165843531,"10683",1
"hsa04261","Adrenergic signaling in cardiomyocytes","1/6","149/7868",0.108412135997091,0.16864110043992,0.164837165843531,"7137",1
"hsa04024","cAMP signaling pathway","1/6","214/7868",0.152535568560191,0.213549795984268,0.208732883292893,"7137",1
"hsa05206","MicroRNAs in cancer","1/6","299/7868",0.207476404531158,0.264060878494202,0.258104618077039,"9493",1
"hsa04080","Neuroactive ligand-receptor interaction","1/6","338/7868",0.231672164999431,0.270284192499336,0.264187556578299,"117579",1
"hsa04740","Olfactory transduction","1/6","448/7868",0.296624381703125,0.319441641834135,0.312236191266448,"26539",1
"hsa05168","Herpes simplex virus 1 infection","1/6","492/7868",0.321290252210674,0.321290252210674,0.314043103664568,"100129543",1
